Name;Self CPU in %;Self CPU in us;CPU total %;CPU total in us;CPU time avg in us;Self CUDA in us;Self CUDA %;CUDA total in us;CUDA time avg in us;CPU Mem in bytes;Self CPU Mem in bytes;CUDA Mem in bytes;Self CUDA Mem in bytes;# of Calls;GFLOPS
aten::select;0,04%;2921;0,07%;5008;166,933;0,000;0,00%;0,000;0,000;0;0;0;0;30;0
aten::slice;0,04%;2711;0,05%;3949;164,542;0,000;0,00%;0,000;0,000;0;0;0;0;24;0
detach;0,04%;2558;0,04%;2558;53,292;0,000;0,00%;0,000;0,000;0;0;0;0;48;0
aten::is_nonzero;0,03%;2339;17,57%;1273000;30321;0,000;0,00%;30,000;0,714;0;0;0;0;42;0
cudaMemsetAsync;0,03%;1965;0,03%;1965;10,234;0,000;0,00%;0,000;0,000;0;0;0;0;192;0
aten::native_batch_norm;0,03%;1927;0,10%;7043;586,917;560261;11,91%;560261;46688;0;0;5810000000;0;12;0
GSpMMBackward;0,03%;1866;29,43%;2133000;118509;0,000;0,00%;450984;25055;0;-144;6770000000;0;18;0
aten::cudnn_batch_norm;0,03%;1838;0,07%;4896;408,000;25724;0,55%;25724;2144;0;0;5810000000;0;12;0
aten::threshold;0,02%;1733;0,05%;3417;142,375;41654;0,89%;41654;1736;0;0;11630000000;0;24;0
aten::batch_norm;0,02%;1705;0,22%;15994;666,417;0,000;0,00%;585985;24416;0;0;11630000000;0;24;0
aten::_batch_norm_impl_index;0,02%;1642;0,20%;14289;595,375;0,000;0,00%;585985;24416;0;0;11630000000;0;24;0
aten::flatten;0,02%;1620;0,06%;4453;185,542;0,000;0,00%;0,000;0,000;0;0;0;0;24;0
aten::nll_loss;0,02%;1600;0,07%;5315;221,458;0,000;0,00%;188,000;7,833;0;0;4920000;0;24;0
aten::log_softmax;0,02%;1512;0,11%;7727;321,958;0,000;0,00%;679,000;28,292;0;0;198720000;0;24;0
Optimizer.zero_grad#RMSprop.zero_grad;0,02%;1327;0,25%;18407;3068;0,000;0,00%;62,000;10,333;-24;-120;0;0;6;0
GSDDMMBackward;0,02%;1299;0,13%;9620;534,444;0,000;0,00%;66764;3709;0;-144;71100000;0;18;0
aten::_index_put_impl_;0,02%;1277;0,37%;26671;4445;591,000;0,01%;620,000;103,333;0;0;0;-8330000;6;0
aten::nonzero;0,02%;1211;0,05%;3563;593,833;40,000;0,00%;40,000;6,667;0;0;2080000;0;6;0
ViewBackward;0,01%;1083;0,02%;1707;35,562;0,000;0,00%;0,000;0,000;0;0;0;0;48;0
aten::conj;0,01%;977,000;0,01%;977,000;5,615;0,000;0,00%;0,000;0,000;0;0;0;0;174;0
MulBackward0;0,01%;904,000;0,09%;6523;90,597;0,000;0,00%;113238;1573;0;0;37610000000;0;72;0
EdgeSoftmaxBackward;0,01%;877,000;0,14%;10039;557,722;0,000;0,00%;43324;2407;0;0;515360000;-1040000000;18;0
