Name;Self CPU in %;Self CPU in us;CPU total %;CPU total in us;CPU time avg in us;Self CUDA in us;Self CUDA %;CUDA total in us;CUDA time avg in us;CPU Mem in bytes;Self CPU Mem in bytes;CUDA Mem in bytes;Self CUDA Mem in bytes;# of Calls;GFLOPS
aten::matmul;0,13%;4872;0,68%;24533;340,736;0,000;0,00%;82520;1146;0;0;8390000000;0;72;0
aten::_softmax;0,13%;4767;0,26%;9593;266,472;214,000;0,01%;214,000;5,944;0;0;93020000;0;36;0
GSpMMBackward;0,12%;4401;0,83%;30099;557,389;0,000;0,00%;334282;6190;0;-432;6800000000;0;54;0
MulBackward0;0,11%;4116;0,81%;29583;96,676;0,000;0,00%;198681;649,284;0;0;58720000000;0;306;0
cudaMemsetAsync;0,11%;4027;0,11%;4027;9,453;0,000;0,00%;0,000;0,000;0;0;0;0;426;0
aten::_cat;0,11%;3813;0,28%;10346;215,542;7456;0,29%;7456;155,333;0;0;1360000000;0;48;0
aten::sub;0,10%;3634;0,15%;5626;133,952;870,000;0,03%;870,000;20,714;0;0;176710000;0;42;0
aten::nll_loss_forward;0,09%;3440;0,10%;3726;155,250;189,000;0,01%;189,000;7,875;0;0;4920000;4920000;24;0
aten::argmax;0,09%;3118;0,17%;6059;252,458;1597;0,06%;1597;66,542;0;0;11920000;0;24;0
aten::detach;0,08%;3033;0,15%;5527;115,146;0,000;0,00%;0,000;0,000;0;0;0;0;48;0
aten::conj;0,08%;3032;0,08%;3032;5,319;0,000;0,00%;0,000;0,000;0;0;0;0;570;0
aten::_log_softmax;0,08%;3026;0,17%;6152;256,333;681,000;0,03%;681,000;28,375;0;0;196580000;0;24;0
aten::uniform_;0,08%;2988;0,08%;2988;498,000;0,000;0,00%;0,000;0,000;0;0;0;0;6;0
aten::log;0,08%;2987;0,13%;4683;195,125;20,000;0,00%;20,000;0,833;0;0;4920000;0;24;0
aten::relu_;0,08%;2933;0,13%;4866;202,750;0,000;0,00%;13867;577,792;0;0;0;0;24;0
cudaStreamSynchronize;0,08%;2841;0,08%;2841;7,892;0,000;0,00%;0,000;0,000;0;0;0;0;360;0
detach;0,07%;2494;0,07%;2494;51,958;0,000;0,00%;0,000;0,000;0;0;0;0;48;0
aten::nonzero;0,07%;2490;0,21%;7455;621,250;66,000;0,00%;66,000;5,500;0;0;4170000;0;12;0
aten::is_nonzero;0,07%;2440;6,31%;229043;5453;0,000;0,00%;28,000;0,667;0;0;0;0;42;0
aten::softmax;0,07%;2412;0,33%;12005;333,472;0,000;0,00%;214,000;5,944;0;0;93020000;0;36;0
aten::_index_put_impl_;0,06%;2221;0,20%;7243;402,389;775,000;0,03%;803,000;44,611;0;0;0;-8310000;18;0
aten::slice_backward;0,06%;2135;0,57%;20767;96,144;0,000;0,00%;1589;7,356;0;0;560300000;0;216;0
aten::squeeze;0,05%;1988;0,07%;2393;12,086;0,000;0,00%;0,000;0,000;0;0;0;0;198;0
aten::native_batch_norm;0,05%;1964;0,20%;7159;596,583;182981;7,03%;182981;15248;0;0;1950000000;0;12;0
aten::cudnn_batch_norm;0,05%;1889;0,14%;5114;426,167;8349;0,32%;8349;695,750;0;0;1950000000;0;12;0
aten::flatten;0,05%;1834;0,13%;4662;194,250;0,000;0,00%;0,000;0,000;0;0;0;0;24;0
aten::_batch_norm_impl_index;0,05%;1660;0,40%;14635;609,792;0,000;0,00%;191330;7972;0;0;3890000000;0;24;0
aten::threshold_;0,05%;1657;0,05%;1933;80,542;13867;0,53%;13867;577,792;0;0;0;0;24;0
aten::batch_norm;0,05%;1647;0,45%;16282;678,417;0,000;0,00%;191330;7972;0;0;3890000000;0;24;0
Optimizer.zero_grad#RMSprop.zero_grad;0,04%;1607;0,69%;25184;4197;0,000;0,00%;59,000;9,833;-24;-120;0;0;6;0
aten::log_softmax;0,04%;1553;0,21%;7705;321,042;0,000;0,00%;681,000;28,375;0;0;196580000;0;24;0
aten::nll_loss;0,04%;1542;0,15%;5268;219,500;0,000;0,00%;189,000;7,875;0;0;4920000;0;24;0
aten::expand;0,04%;1396;0,05%;1669;12,094;0,000;0,00%;0,000;0,000;0;0;0;0;138;0
aten::index_put_;0,04%;1306;0,15%;5321;443,417;0,000;0,00%;186,000;15,500;0;0;0;0;12;0
GSDDMMBackward;0,03%;1214;0,26%;9365;520,278;0,000;0,00%;45667;2537;0;-144;23260000;0;18;0
aten::_masked_scale;0,03%;1049;0,06%;2195;45,729;8498;0,33%;8498;177,042;0;0;2160000000;0;48;0
SliceBackward;0,03%;958,000;0,60%;21725;100,579;0,000;0,00%;1589;7,356;0;0;560300000;0;216;0
aten::div;0,02%;864,000;0,04%;1480;82,222;523,000;0,02%;523,000;29,056;0;0;157740000;0;18;0
MmBackward;0,02%;853,000;0,23%;8272;229,778;0,000;0,00%;67957;1888;0;0;3900000000;0;36;0
EdgeSoftmaxBackward;0,02%;853,000;0,28%;10233;568,500;0,000;0,00%;26481;1471;0;0;171790000;-355210000;18;0
torch::autograd::AccumulateGrad;0,02%;831,000;0,12%;4293;31,109;0,000;0,00%;109,000;0,790;0;0;0;0;138;0
UnsqueezeBackward0;0,02%;830,000;0,09%;3223;16,278;0,000;0,00%;0,000;0,000;0;0;0;0;198;0
